1;1
2;1
3;2
4;3
5;2
6;6
7;2
8;5
9;3
10;8
11;8
12;9
13;8
14;2
15;7
16;7
17;13
18;8
19;12
20;19
21;11
22;5
23;3
24;24
25;9
26;3
27;9
28;26
29;21
30;14
31;23
32;7
33;28
34;32
35;16
36;14
37;33
38;17
39;15
40;7
41;39
42;26
43;31
44;38
45;12
46;1
47;35
48;10
49;11
50;17
51;12
52;50
53;11
54;17
55;5
56;31
57;32
58;50
59;51
60;12
61;21
62;2
63;8
64;51
65;53
66;64
67;17
68;66
69;55
70;41
71;20
72;22
73;53
74;54
75;36
76;28
77;47
78;75
79;32
80;65
81;28
82;40
83;51
84;8
85;8
86;77
87;70
88;7
89;10
90;49
91;84
92;70
93;3
94;49
95;88
96;36
97;96
98;58
99;14
100;22
101;70
102;9
103;24
104;32
105;61
106;32
107;60
108;19
109;6
110;92
111;6
112;51
113;75
114;62
115;12
116;62
117;113
118;45
119;60
120;109
121;118
122;7
123;82
124;31
125;51
126;103
127;120
128;19
129;15
130;12
131;8
132;64
133;14
134;127
135;69
136;120
137;33
138;22
139;48
140;49
141;134
142;76
143;53
144;77
145;144
146;60
147;115
148;1
149;40
150;61
151;7
152;64
153;103
154;132
155;25
156;71
157;106
158;16
159;117
160;120
161;31
162;52
163;158
164;117
165;121
166;69
167;53
168;4
169;16
170;46
171;68
172;77
173;156
174;93
175;150
176;153
177;174
178;36
179;135
180;55
181;118
182;164
183;30
184;14
185;99
186;58
187;95
188;88
189;78
190;108
191;130
192;158
193;36
194;129
195;141
196;95
197;172
198;82
199;115
200;146
201;53
202;69
203;126
204;166
205;71
206;99
207;205
208;29
209;88
210;123
211;158
212;56
213;112
214;86
215;158
216;119
217;139
218;123
219;105
220;186
221;118
222;78
223;146
224;199
225;17
226;58
227;107
228;21
229;72
230;204
231;10
232;191
233;57
234;191
235;134
236;186
237;58
238;73
239;71
240;17
241;201
242;79
243;62
244;224
245;184
246;128
247;101
248;151
249;155
250;13
251;22
252;178
253;249
254;219
255;240
256;188
257;166
258;192
259;102
260;6
261;255
262;235
263;68
264;220
265;185
266;117
267;164
268;7
269;261
270;55
271;147
272;22
273;264
274;251
275;149
276;248
277;27
278;73
279;73
280;238
281;165
282;213
283;174
284;216
285;43
286;100
287;275
288;261
289;211
290;219
291;122
292;12
293;76
294;15
295;44
296;17
297;197
298;120
299;266
300;228
301;81
302;110
303;54
304;106
305;209
306;144
307;307
308;253
309;212
310;294
311;205
312;144
313;133
314;62
315;218
316;138
317;170
318;8
319;15
320;162
321;224
322;210
323;36
324;248
325;205
326;141
327;311
328;151
329;16
330;118
331;78
332;104
333;186
334;121
335;266
336;30
337;327
338;295
339;318
340;26
341;6
342;19
343;197
344;27
345;233
346;338
347;266
348;210
349;8
350;3
351;340
352;122
353;211
354;351
355;84
356;18
357;315
358;231
359;352
360;124
361;291
362;134
363;111
364;163
365;226
366;192
367;169
368;168
369;62
370;126
371;54
372;180
373;176
374;325
375;55
376;241
377;56
378;143
379;109
380;261
381;130
382;308
383;379
384;84
385;315
386;141
387;137
388;321
389;48
390;242
391;125
392;220
393;310
394;130
395;40
396;22
397;119
398;301
399;298
400;272
401;220
402;221
403;321
404;230
405;190
406;218
407;138
408;348
409;301
410;218
411;380
412;171
413;301
414;125
415;31
416;126
417;280
418;246
419;225
420;59
421;66
422;44
423;307
424;206
425;196
426;16
427;168
428;196
429;313
430;59
431;366
432;370
433;306
434;377
435;30
436;145
437;173
438;75
439;188
440;217
441;405
442;250
443;81
444;344
445;410
446;114
447;31
448;297
449;392
450;353
451;390
452;116
453;216
454;1
455;343
456;22
457;3
458;77
459;106
460;47
461;190
462;307
463;24
464;140
465;223
466;94
467;375
468;187
469;90
470;45
471;161
472;80
473;110
474;225
475;467
476;162
477;52
478;423
479;411
480;181
481;438
482;339
483;318
484;430
485;426
486;431
487;199
488;47
489;43
490;177
491;56
492;251
493;126
494;30
495;373
496;167
497;212
498;95
499;169
500;477
501;368
502;393
503;325
504;467
505;487
506;273
507;57
508;73
509;343
510;129
511;497
512;453
513;502
514;391
515;301
516;188
517;147
518;302
519;119
520;103
521;310
522;51
523;363
524;11
525;70
526;465
527;430
528;386
529;281
530;67
531;204
532;419
533;269
534;241
535;502
536;186
537;98
538;64
539;191
540;273
541;128
542;147
543;96
544;413
545;503
546;383
547;511
548;83
549;438
550;350
551;283
552;378
553;153
554;162
555;231
556;298
557;202
558;272
559;416
560;411
561;169
562;331
563;198
564;278
565;125
566;6
567;521
568;109
569;220
570;335
571;147
572;459
573;498
574;442
575;353
576;189
577;223
578;163
579;49
580;17
581;179
582;280
583;251
584;67
585;25
586;519
587;2
588;454
589;141
590;52
591;382
592;120
593;346
594;540
595;389
596;255
597;529
598;274
599;173
600;378
601;586
602;425
603;401
